Row ID,Order ID,Order Date,Date Key,Country,Region,Subregion,Customer,Customer ID,Industry,Segment,Product,License,Sales,Quantity,Discount,Profit
7981,APJ-2020-103800,1/4/2020,20200104,Japan,APJ,JAPN,Siemens,1043,Manufacturing,SMB,Support,730VUNTJF5,16.448,2,0.2,5.5512
740,APJ-2020-112326,1/5/2020,20200105,Australia,APJ,ANZ,CVS Health,1026,Retail,Enterprise,FinanceHub,XGQWR8K66V,11.784,3,0.2,4.2717
741,APJ-2020-112326,1/5/2020,20200105,Australia,APJ,ANZ,CVS Health,1026,Retail,Enterprise,Marketing Suite - Gold,54J2FWJY59,272.736,3,0.2,-64.7748
742,APJ-2020-112326,1/5/2020,20200105,Australia,APJ,ANZ,CVS Health,1026,Retail,Enterprise,ContactMatcher,K3HDHHY5YG,3.54,2,0.8,-5.487
1760,EMEA-2020-141817,1/6/2020,20200106,France,EMEA,EU-WEST,Mitsubishi,1050,Manufacturing,SMB,ChatBot Plugin,PGSY1LZQ71,19.536,3,0.2,4.884
5328,AMER-2020-130813,1/7/2020,20200107,United States,AMER,NAMER,ConocoPhillips,1024,Energy,SMB,Support,8O9MZEYB3W,19.44,3,0,9.3312
7181,EMEA-2020-106054,1/7/2020,20200107,Finland,EMEA,NOR,Exxon Mobil,1034,Energy,Strategic,ChatBot Plugin,QDXELHND9M,12.78,3,0,5.2398
7475,EMEA-2020-167199,1/7/2020,20200107,Ireland,EMEA,UKIR,Royal Dutch Shell,1031,Energy,Enterprise,FinanceHub,KXD6LC2EZB,2573.82,9,0,746.4078
7476,EMEA-2020-167199,1/7/2020,20200107,Ireland,EMEA,UKIR,Royal Dutch Shell,1031,Energy,Enterprise,ContactMatcher,51R6986TT4,609.98,2,0,274.491
7477,EMEA-2020-167199,1/7/2020,20200107,Ireland,EMEA,UKIR,Royal Dutch Shell,1031,Energy,Enterprise,ChatBot Plugin,KM6HF4I5BI,5.48,2,0,1.4796
7478,EMEA-2020-167199,1/7/2020,20200107,Ireland,EMEA,UKIR,Royal Dutch Shell,1031,Energy,Enterprise,Site Analytics,9HHLN9SY7S,391.98,2,0,113.6742
